CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Generation,Local_Best_Obj
20200228035521,MDG-a_6_n500_m50,3,751.948s,500,50,1582827558,1600,94,11.25
20200228040754,MDG-a_6_n500_m50,4,755.819s,500,50,1582830287,1600,95,9.42
20200228042031,MDG-a_6_n500_m50,5,755.679s,500,50,1582809818,1600,95,11.04
20200228043308,MDG-a_6_n500_m50,6,756.743s,500,50,1582811330,1600,95,10.96
20200228044546,MDG-a_7_n500_m50,0,757.398s,500,50,1582817203,1600,95,10.75
20200228045824,MDG-a_7_n500_m50,1,753.541s,500,50,1582829605,1600,94,10.94
20200228051059,MDG-a_7_n500_m50,2,751.057s,500,50,1582820721,1600,94,11.49
20200228052331,MDG-a_7_n500_m50,3,754.744s,500,50,1582813773,1600,95,10.97
20200228053607,MDG-a_7_n500_m50,4,755.241s,500,50,1582816414,1600,95,11.53
20200228054843,MDG-a_7_n500_m50,5,752.78s,500,50,1582825518,1600,94,11.37
20200228060117,MDG-a_7_n500_m50,6,757.749s,500,50,1582828912,1600,95,11.08
20200228061356,MDG-a_8_n500_m50,0,751.101s,500,50,1582836093,1600,94,10.78
20200228062628,MDG-a_8_n500_m50,1,753.06s,500,50,1582816297,1600,93,11.34
20200228063902,MDG-a_8_n500_m50,2,752.134s,500,50,1582837851,1600,93,10.86
20200228065136,MDG-a_8_n500_m50,3,752.114s,500,50,1582818996,1600,93,11.05
20200228070409,MDG-a_8_n500_m50,4,751.355s,500,50,1582834330,1600,92,10.37
20200228071641,MDG-a_8_n500_m50,5,752.292s,500,50,1582841962,1600,91,11.39
20200228072915,MDG-a_8_n500_m50,6,750.23s,500,50,1582823836,1600,92,11.26
20200228074146,MDG-a_9_n500_m50,0,758.127s,500,50,1582844371,1600,93,11.47
20200228075426,MDG-a_9_n500_m50,1,757.103s,500,50,1582837423,1600,93,10.6
20200228080704,MDG-a_9_n500_m50,2,757.488s,500,50,1582827255,1600,93,10.76
20200228081942,MDG-a_9_n500_m50,3,751.218s,500,50,1582835414,1600,89,10.67
20200228083215,MDG-a_9_n500_m50,4,750.416s,500,50,1582849169,1600,88,11.02
20200228084447,MDG-a_9_n500_m50,5,755.099s,500,50,1582837904,1600,89,11.05
20200228085723,MDG-a_9_n500_m50,6,756.539s,500,50,1582828721,1600,90,11.07
20200228091000,MDG-a_12_n500_m50,0,758.516s,500,50,1582841225,1600,90,11.25
20200228092240,MDG-a_12_n500_m50,1,753.781s,500,50,1582823922,1600,78,11.22
20200228093515,MDG-a_12_n500_m50,2,752.848s,500,50,1582837440,1600,79,10.22
20200228094750,MDG-a_12_n500_m50,3,750.327s,500,50,1582848414,1600,77,11.27
20200228100021,MDG-a_12_n500_m50,4,755.135s,500,50,1582844538,1600,86,11.17
20200228101258,MDG-a_12_n500_m50,5,751.529s,500,50,1582838317,1600,83,11.57
20200228102531,MDG-a_12_n500_m50,6,752.293s,500,50,1582847625,1600,82,11.29
20200228103804,MDG-a_13_n500_m50,0,752.199s,500,50,1582839233,1600,84,11
20200228105038,MDG-a_13_n500_m50,1,753.61s,500,50,1582845520,1600,81,11.12
20200228110313,MDG-a_13_n500_m50,2,750.007s,500,50,1582850249,1600,81,11.68
20200228111544,MDG-a_13_n500_m50,3,754.853s,500,50,1582839090,1600,84,9.89
20200228112821,MDG-a_13_n500_m50,4,755.086s,500,50,1582844520,1600,88,11.68
20200228114057,MDG-a_13_n500_m50,5,753.908s,500,50,1582837098,1600,80,10.82
20200228115332,MDG-a_13_n500_m50,6,752.441s,500,50,1582860353,1600,83,10.99
20200228120606,MDG-a_16_n500_m50,0,751.191s,500,50,1582856673,1600,85,11.07
20200228121838,MDG-a_16_n500_m50,1,757.3s,500,50,1582854508,1600,81,9.93
20200228123117,MDG-a_16_n500_m50,2,755.147s,500,50,1582860248,1600,83,10.44
20200228124354,MDG-a_16_n500_m50,3,758.371s,500,50,1582837485,1600,84,10.49
20200228125634,MDG-a_16_n500_m50,4,755.976s,500,50,1582849358,1600,89,11.2
20200228130911,MDG-a_16_n500_m50,5,756.26s,500,50,1582847894,1600,90,10.71
20200228132148,MDG-a_16_n500_m50,6,755.832s,500,50,1582852404,1600,90,11.29
20200228133425,MDG-a_20_n500_m50,0,757.03s,500,50,1582844186,1600,87,11.3
20200228134704,MDG-a_20_n500_m50,1,754.521s,500,50,1582846415,1600,81,10.94
20200228135939,MDG-a_20_n500_m50,2,755.2s,500,50,1582856868,1600,80,11.26
20200228141216,MDG-a_20_n500_m50,3,756.372s,500,50,1582839709,1600,82,11.14
20200228142454,MDG-a_20_n500_m50,4,752.624s,500,50,1582841066,1600,86,11.12
20200228143728,MDG-a_20_n500_m50,5,752.887s,500,50,1582856158,1600,90,11.08
20200228145002,MDG-a_20_n500_m50,6,754.499s,500,50,1582860419,1600,92,10.95
20200228162332,MDG-a_1_n500_m50,0,753.221s,500,50,1582864599,1600,68,11.41
20200228163607,MDG-a_1_n500_m50,1,755.741s,500,50,1582866623,1600,63,10.88
20200228164845,MDG-a_1_n500_m50,2,758.299s,500,50,1582867406,1600,61,11.57
20200228170125,MDG-a_1_n500_m50,3,751.906s,500,50,1582867090,1600,60,11.53
20200228171358,MDG-a_1_n500_m50,4,753.212s,500,50,1582880129,1600,62,10.12
20200228172633,MDG-a_1_n500_m50,5,750.848s,500,50,1582860246,1600,61,11.18
